词语	拼音	词性	英语	例句
数额	shù'é	n	amount	这笔钱数额巨大。
退休金	tuìxiūjīn	n	pension	公司将为每位退休人员提供可观的退休金
员工	yuángōng	n	staff	你知道我们公司给员工的报酬情况吗？
责任	zérèn	n	responsibility	每个人都有自己的责任和义务。
值班	zhíbān	v	be on duty	留下两个人值班。
资金	zījīn	n	capital	这个项目需要大量资金。
补贴	bǔtiē	n	subsidy	工资单上面没有显示我的加班补贴啊。
存根	cúngēn	n	stub	这是你存钱的银行存根。
分红	fēnhóng	v	bonus	每年年底，公司还有分红。
高额	gāo’é	n	great number (amount)	公司将为他们支付高额工资。
考勤	kǎoqín	v	check work attendance	公司有公司的考勤制度，不能随便旷工请假。
可观	kěguān	a	considerable	这是一支十分可观的资金力量。
提成	tíchéng	v	deduct a percentage from a sum of money	除了最低工资，公司将根据你的业绩提成。
薪酬	xīnchóu	n	salary	你希望的薪酬是多少？
业绩	yèjì	n	achievement	公司今年业绩非常好！
优厚	yōuhòu	a	generous	他怕失去他的领导职务，绝不仅仅因为生活上的优厚条件。
资历	zīlì	n	seniority	看一个领导是不是正确，不能光看他的资历、地位，而要看他的立场、观点和行动啊
炒	chǎo	v	fry	再来一个炒饭。
请假	qǐngjià	v	ask for leave	现在工作正忙,你请假也批准不了
报告	bàogào	n	report	我需要写一个休假申请报告吗？
假	jià	a	vacation	我想下个月休假。
假期	jiàqī	nt	vacation	三年内我有两次假期。
规定	guīdìng	v	regulation	公司有规定的，请假不能超过五天。
开除	kāichú	v	expel	开除一年多了。
退休	tuìxiū	v	retire	他们也谈开退休的事了
补助	bǔzhù	n	subsidy	一千万军事资金补助。
辞	cí	n	resign	加百分之二十的薪水，当然不辞了。
辞退	cítuì	v	dismiss	
接替	jiētì	v	replace	二班准备接替一班
解散	jiěsàn	v	dissolve	从此解散！
扣除	kòuchú	v	deduct	工资里已经扣除了税金。
批准	pīzhǔn	v	approval	批准了三天了。
人力	rénlì	n	human resources	
休	xiū	v	rest	我想下个月休假。
出具	chūjù	v	issue	请出具你的正式证明。
公事	gōngshì	n	official business	这是公事，我得公事公办。
行政	xíngzhèng	n	administration	为全线ArtNouveau的行政总厨！
请示	qǐngshì	v	ask for instructions	怎么请示起他来了
缺席	quēxí	v	absent	上别门课时，总有几个人缺席
审批	shěnpī	v	examinee and approve	你的请假条还需要得到领导的审批。
制度	zhìdù	n	system	公司有具体制度的，请假不能超过五天。
安排	ānpái	v	arrange	周末我还没有安排，能跟你们一起去吗？
计划	jìhuà	n	plan	我计划去云南旅游。
开会	kāihuì	v	attend a meeting	这是今天的日程安排：8:30，和总经理们开会，9:00，到工厂参观，在那给员工代表颁奖。
会议	huìyì	n	meeting	女士们，先生们，首先，请允许我把出席这次会议的来宾介绍给大家。
记录	jìlù	v	record	记录了两个小时
取消	qǔxiāo	v	cancel	取消下午四点的会见。
确认	quèrèn	v	confirm	我想要再确认班机。
日期	rìqī	nt	date	考试报名截止日期是哪天？
缩短	suōduǎn	v	shorten	我知道观众会不耐烦，所以你得叫他们把讲话缩短。
延期	yánqī	v	postpone	上海 大酒店 的 招待会 延期 到 30 号
宴会	yànhuì	n	banquet	谢谢你邀请我参加这个愉快的生日宴会。
召开	zhàokāi	v	convene	会议召开了吗？
繁忙	fánmáng	a	busy	到处呈现着繁忙景象
访问	fǎngwèn	v	visit	明天下午，林经理会来访问我们公司。
行程	xíngchéng	n	trip	明天行程安排已经确定了。
会见	huìjiàn	v	meet with	取消下午四点的会见。
会谈	huìtán	v	talks	他说，我们同中国领导人的会谈非常顺利，就像同老朋友交谈一样
简短	jiǎnduǎn	a	brief	好，一开始是每个人做一个自我简短的介绍，然后每位出席人员向史密斯先生做个介绍。
进度	jìndù	n	speed of progress	我就怕影响了装修的进度。
日程	rìchéng	n	schedule	今天的日程安排是什么？
预约	yùyuē	v	make an appointment	你预约了吗？
剪彩	jiǎncǎi	v	cut the ribbon at an opening ceremony	下午那个剪彩帮我取消了吧。
洽谈	qiàtán	v	negotiate	星期四下午和生乐公司的洽谈会都安排好了吗？
议程	yìchéng	n	agenda	定下一个议程来
举行	jǔxíng	v	hold	会见将在明天上午举行。
产品	chǎnpǐn	n	product	贵方的产品能否达到我方的质量要求？
打招呼	dǎ?zhāohu	v	say hello	当她领着三岁的女儿出现在人们的面前时，邻居很远就亲切地打招呼
对方	duìfāng	n	other party	对方制造过边界事件
对手	duìshǒu	n	opponent	我不是你的竞争对手。
亲自	qīnzì	d	personally	你最好亲自对他说。
商量	shāngliang	v	discuss	我想和你商量一下那批货的价格。
生意	shēngyi	n	business	最近生意怎么样？
数量	shùliàng	n	quantity	我们的订货数量主要取决于你方的价格，请您先报价吧。
双方	shuāngfāng	n	both sides	现在请双方交换戒指。
顺利	shùnlì	a	smoothly	您有什么意见，可以告诉我。希望我们今天的谈判也很顺利。
谈	tán	v	talk	您有什么意见，可以告诉我。希望我们今天的谈判也很顺利。
意见	yìjian	n	opinion	您有什么意见，可以告诉我。希望我们今天的谈判也很顺利。
不敢当	bùgǎndāng	i	I really don't deserve this.	不敢当！不敢当！我没那么厉害。
答复	dáfù	v	reply	我先和总经理商量一下，再给您答复，可以吗？
打扰	dǎrǎo	v	disturb	抱歉，打扰一下，请你打开这个小包。
光临	guānglín	v	presence	欢迎光临本公司！
会面	huìmiàn	v	meet with	我们还会会面的。
问候	wènhòu	v	greet	对了，顺便帮我们问候一下你的家人。
迎接	yíngjiē	v	meet	迎接了三个月
赞美	zànměi	v	praise	大家都赞美起自己的家乡来了
长期	chángqī	nt	long-term	我们公司具备了一定的优势，和众多外商都建立了长期的合作关系。
周到	zhōudào	a	thoughtful	他考虑问题很周到，全面
报价	bàojià	v	quote	我们的订货数量主要取决于你方的价格，请您先报价吧。
车间	chējiān	n	workshop	我陪各位先去车间看看。
订货	dìnghuò	v	order goods	我们的订货数量主要取决于你方的价格，请您先报价吧。
关照	guānzhào	v	take care of	您好，初次见面，请多关照。
贵宾	guìbīn	n	VIP	您是今天的贵宾，一定得上座。
集团	jítuán	n	group	JC集团的。
久仰	jiǔyǎng	v	I've heard so much about you.	久仰！久仰！
客户	kèhù	n	customer	我一个客户，
握手	wòshǒu	v	shake hands	他开始与普通人握手
协议书	xiéyìshū	n	agreement	写了协议书，
幸	xìng	v	lucky	幸会！幸会！
幸会	xìnghuì	v	Nice to meet you.	幸会！幸会！
成品	chéngpǐn	n	finished product	出厂前贵方可以抽样检验成品。
诚意	chéngyì	n	good faith	你们的诚意，
恭维	gōngwéi	v	compliment	他需要全世界的人都恭维着他，他连理都不屑一理的光荣
寒暄	hánxuān	v	greetings	寒暄之后，又互问健康状况
检验	jiǎnyàn	v	inspect	出厂前贵方可以抽样检验成品。
交际	jiāojì	v	communicate	她很擅长交际。
拍档	pāidàng	n	partner	两位演员在这部影片中拍档饰演男女主角。
签署	qiānshǔ	v	sign	一同签署合作备忘录。
商务	shāngwù	n	business affairs	你是商务旅行还是观光？
谈判	tánpàn	n	negotiate	您有什么意见，可以告诉我。希望我们今天的谈判也很顺利。
协议	xiéyì	n	agreement	先看协议。
仰慕	yǎngmù	v	admire	她的眼睛亮了，她仰慕着
应酬	yìngchou	v	social intercourse	不，我七点钟还有一点小应酬
专程	zhuānchéng	d	specially	你说你是专程来感谢我，
总裁	zǒngcái	n	president	我给你们介绍，华文翰先生，我们集团的行政总裁。
叫	jiào	v	call	快叫救护车！
忙	máng	a	favor	你能帮我一个忙吗？
请	qǐng	v	please	请帮帮我。
谢谢	xièxie	v	thanks	谢谢，不用找了。
医生	yīshēng	n	doctor	你得去看医生。
医院	yīyuàn	n	hospital	我想打听一下儿，去友谊医院怎么走？
办法	bànfǎ	n	way	求你想想办法吧。
帮	bāng	v	help	可以帮我们照张相吗？
帮忙	bāngmáng	v	help	小姐需要帮忙吗？
帮助	bāngzhù	v	help	我需要你的帮助。
救	jiù	v	save	救命啊！
麻烦	máfan	a	trouble	麻烦你倒杯水给我。
需要	xūyào	v	need	小姐需要帮忙吗？
报警	bàojǐng	v	call the police	火灾报警未成系统。
警	jǐng	n	police	赶快报个警。
警察	jǐngchá	n	police	他让警察抓去了
救护车	jiùhùchē	n	ambulance	快叫救护车！
救命	jiùmìng	v	save sb.’s life	救命啊！
派	pài	v	pie	120吗？有人晕倒了，请快派救护车。
请求	qǐngqiú	v	request	走之前我还有一个请求，可以吗？
求	qiú	v	beg	你求我啊。
伤口	shāngkǒu	n	wound	没用三分钟就把伤口裹好了。
受伤	shòushāng	v	injury	我受伤了！
痛苦	tòngkǔ	a	pain	经受着巨大的痛苦
危险	wēixiǎn	a	danger	他如果再昏迷下去会有危险的
拜托	bàituō	v	come on	拜托您把这封信交给他。
呼救	hūjiù	v	call for help	他大声呼救，睁开眼睛，魔鬼不见了
求救	qiújiù	v	cry for help	她怎样的向你求救？
求助	qiúzhù	v	seek help	在这种情况下他不得不求助于其他医生
失踪	shīzōng	v	be missing	这些变化一定和他们的失踪有什么联系。
要紧	yàojǐn	a	important	但我有要紧的事，
晕倒	yūndǎo	v	faint	120吗？有人晕倒了，请快派救护车。
诊所	zhěnsuǒ	n	clinic	我把这个病人送到一个朋友的私人诊所，动了手术。
自卫	zìwèi	v	self-defense	肥丁那天出于自卫而打伤了那些坏人，
绑架	bǎngjià	v	kidnap	只要他不伤害我，我还愿意叫他们绑架呢。
歹徒	dǎitú	n	gangster	这些警察真勇敢，抓住了那些手持武器的歹徒。
警卫	jǐngwèi	n	guard	中央警卫局退休的。
抢劫	qiǎngjié	v	robbery	那个抢劫你的人被逮捕了。
搜索	sōusuǒ	v	search	你前方有两部防空雷达正在搜索。
突发	tūfā	v	burst	曲小姐今天有一些突发的状况，所以...
危急	wēijí	a	critical	情况很危急！
遗失	yíshī	v	lose	他遗失了一个文件
赞助	zànzhù	v	sponsor	还有你们可以找赞助，
协助	xiézhù	v	assist	我会24小时协助你们。
拯救	zhěngjiù	v	salvation	被音乐拯救的，
爸爸	bàba	n	father	爸爸，我考了班里前十名。
高兴	gāoxìng	a	happy	认识你很高兴。
过	guò	v	live	最近过得好吗？
妈妈	māma	n	mother	你好，我是思思的妈妈。
你好	nǐ hǎo	v	hello	你好！
您好	nín hǎo	v	hello	南方航空，您好。
再见	zàijiàn	v	bye	再见！下次见！
早	zǎo	a	good morning	你早，老李！
怎么样	zěnmeyàng	r	how	近来怎么样？
变化	biànhuà	v	change	他的变化可大啦。
不错	búcuò	a	pretty good	还不错。
不好意思	bù hǎoyìsi	i	sorry	不好意思，我迟到了。
行	xíng	v	that's OK	还行吧。
欢迎	huānyíng	v	welcome	欢迎光临本公司！
家人	jiārén	n	family	对了，顺便帮我们问候一下你的家人。
见	jiàn	v	look	好久不见啊！
熟	shú	a	cooked	我很少见到他，和他不熟。
晚安	wǎn’ān	a	good night	晚安，明天见。
问好	wènhǎo	v	say hello to	请你代我向你父母问好。
辛苦	xīnkǔ	a	hard	路上辛苦了。
早安	zǎo'ān	v	good morning	早安。早安。
最近	zuìjìn	nt	recently	最近怎么样？
保重	bǎozhòng	v	take care	我走了，保重！
代	dài	v	generation	请你代我向你父母问好。
感谢	gǎnxiè	v	thank	非常感谢你。
礼貌	lǐmào	n	politeness	这种不礼貌的话可讲不得
恭喜	gōngxǐ	v	congratulations	你不恭喜我们吗？
过奖	guòjiǎng	v	over praise	张先生过奖了，我们公司正处在发展的阶段，还有很多地方需要完善。
贺	hè	v	congratulate	祝贺你们新婚愉快，生活幸福。
近来	jìnlái	nt	recently	皇上近来时时念起殿下，
佩服	pèifu	v	admire	你怎么佩服上这种人了
包涵	bāohan	v	excuse	你多包涵。
道谢	dàoxiè	v	thank	向你道谢。
挂念	guàniàn	v	miss	他很挂念你。
见外	jiànwài	v	regard sb. as an outsider	真是太见外了。
荣幸	róngxìng	a	to be honored	我很荣幸。
送别	sòngbié	v	farewell	他总要站在窗口前挥手送别。
送行	sòngxíng	v	see... off	送行的人大声与他说着道别的话。
致敬	zhìjìng	v	pay one's respects to	每一裸树都在向您挥手致敬。
殷勤	yīnqín	a	hospitality	他干嘛了？那么殷勤的。
指教	zhǐjiào	v	advise	请多多指教，
地方	dìfang	n	place	你是什么地方的人？
家	jiā	n	home	这是我的家。
口	kǒu	n	measure word (for people)	我家有五口人。
名	míng	n	name	你的姓和名？
名字	míngzi	n	name	你叫什么名字？
朋友	péngyou	n	friend	这是天天，我的新朋友。
人	rén	n	people	您是哪国人？
认识	rènshi	v	know	认识你很高兴。
谁	shéi	r	who	你是谁啊？
岁	suì	nt	year (of age)	祝你岁岁平安。
喜欢	xǐhuan	v	like	我喜欢年龄大一点的。
姓	xìng	n	surname	请问你姓什么？
自己	zìjǐ	r	oneself	让我来介绍我自己。
爱好	àihào	n	hobby	他的爱好变化过多次
工作	gōngzuò	n	work	我在外交部工作。
介绍	jièshào	v	introduce	让我来介绍我自己。
可爱	kě'ài	a	lovely	小姐，你真可爱！
先生	xiānsheng	n	sir	请问你是刘先生吗？
大方	dàfāng	a	generous	她大方地和他俩握手。
了解	liǎojiě	v	understand	你们先聊聊天，互相了解一下。
名片	míngpiàn	n	business card	这是我的名片。
年龄	niánlíng	nt	age	他年龄有点大，你喜欢吗？
脾气	píqi	n	temper	她又闹上脾气了。
尊	zūn	v	respect	我也曾经尊敬过你
彼此	bǐcǐ	r	each other	他们彼此让了起来
称呼	chēnghu	n	call	您贵姓？您怎么称呼？
初次	chūcì	mq	the first time	初次见面，请多关照。
贵姓	guìxìng	n	surname (polite expression)	您贵姓？您怎么称呼？
国籍	guójí	n	nationality	我的国籍是中国。
坚强	jiānqiáng	a	strong	他是个坚强的人，投不了河
来自	láizì	v	come from	我先自我介绍一下，我叫玛丽，来自美国，我的汉语说得不好。
乐观	lèguān	a	optimistic	在这种情况下，她那乐观的情绪能不感染别人吗？！
热烈	rèliè	a	warm	请以热烈的掌声欢迎今晚晚宴的主人公。
